timestamp,x,y,z
1516786570391543,-0.371582,-0.578613,0.70166
1516786570413456,-0.449219,-0.405273,0.818848
1516786570430501,-0.342773,-0.374023,0.926758
1516786570451590,-0.200195,-0.318848,0.94873
1516786570473833,-0.17627,-0.317871,0.943359
1516786570490696,-0.372559,-0.200684,1.02002
1516786570510934,-0.541016,-0.14502,0.894043
1516786570533970,-0.466797,-0.0961914,0.76123
1516786570549867,-0.246582,-0.255859,0.882324
1516786570570884,-0.270508,-0.391602,0.896973
1516786570594082,-0.312988,-0.316406,0.866211
1516786570609978,-0.336914,-0.227051,0.874023
1516786570633182,-0.348145,-0.234375,0.868164
1516786570654115,-0.371094,-0.26416,0.892578
1516786570670139,-0.350098,-0.239746,0.872559
1516786570692426,-0.331055,-0.215332,0.861328
1516786570707407,-0.348633,-0.243652,0.854492
1516786570730299,-0.341309,-0.273926,0.859863
1516786570752460,-0.347656,-0.29248,0.850098
1516786570773609,-0.364746,-0.266602,0.849121
1516786570790459,-0.39209,-0.259766,0.866699
1516786570812517,-0.397949,-0.283691,0.892578
1516786570833599,-0.394531,-0.29834,0.883301
1516786570850632,-0.396484,-0.253906,0.85791
1516786570879908,-0.422363,-0.226563,0.846191
1516786570894910,-0.44043,-0.259766,0.84375
1516786570909775,-0.436523,-0.300781,0.847168
1516786570931977,-0.402344,-0.300293,0.847168
1516786570953893,-0.410645,-0.299316,0.856445
1516786570969070,-0.435059,-0.299805,0.868652
1516786570992141,-0.427734,-0.307129,0.85498
1516786571022075,-0.390625,-0.307617,0.84375
1516786571029092,-0.382813,-0.348145,0.862793
1516786571052202,-0.412598,-0.357422,0.849121
1516786571074365,-0.445801,-0.34082,0.830566
1516786571089267,-0.461426,-0.341797,0.819336
1516786571112392,-0.47168,-0.331055,0.808594
1516786571134591,-0.492188,-0.343262,0.80127
1516786571157442,-0.506836,-0.369141,0.807129
1516786571171490,-0.513184,-0.365723,0.777832
1516786571194532,-0.499512,-0.364746,0.78125
1516786571209610,-0.497559,-0.365723,0.76709
1516786571231660,-0.537598,-0.367188,0.749512
1516786571254694,-0.5625,-0.360352,0.742676
1516786571269734,-0.563477,-0.369141,0.741211
1516786571291792,-0.572266,-0.390625,0.742188
1516786571307833,-0.580078,-0.414551,0.748535
1516786571328889,-0.599121,-0.48291,0.775391
1516786571351951,-0.59668,-0.494629,0.760254
1516786571368008,-0.612305,-0.482422,0.772461
1516786571389049,-0.617188,-0.469727,0.766602
1516786571412112,-0.646973,-0.490234,0.770508
